"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "TOML", "JavaScript", "HTML", "JSON", "PostCSS", "SCSS", "XML", "vue", "YAML", "comment", "blank", "total"
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\.github\workflows\test.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 13, 48
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\.rush\temp\operation\build\state.json", "JSON", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\.rush\temp\shrinkwrap-deps.json", "JSON", 0, 0, 0, 0, 0, 0, 1545, 0, 0, 0, 0, 0, 0, 1, 1546
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\README.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\eslint.config.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\index.html", "HTML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\netlify.toml", "TOML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\package.json", "JSON", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 1, 135
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\scripts\RealResourceTree.json", "JSON", 0, 0, 0, 0, 0, 0, 119395, 0, 0, 0, 0, 0, 0, 1, 119396
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\scripts\build.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 79
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\scripts\parser\NexonScript.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\scripts\parser\parser.ts", "TypeScript", 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 31, 419
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\scripts\parser\type.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\scripts\player\player.ts", "TypeScript", 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 46, 327
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\scripts\story.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 41, 212
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\scripts\test_player_model.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 80
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\scripts\yuuka.json", "JSON", 0, 0, 0, 0, 0, 0, 1504, 0, 0, 0, 0, 0, 0, 1, 1505
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\scripts\yuuka_translated.json", "JSON", 0, 0, 0, 0, 0, 0, 3711, 0, 0, 0, 0, 0, 0, 1, 3712
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\shims.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 2, 27
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\assets\all_character_effect.json", "JSON", 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 157
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\assets\character_data.json", "JSON", 0, 0, 0, 0, 0, 0, 11632, 0, 0, 0, 0, 0, 0, 0, 11632
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\assets\entity_names.json", "JSON", 0, 0, 0, 0, 0, 0, 518, 0, 0, 0, 0, 0, 0, 1, 519
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\assets\excel\BGMExcelTable.json", "JSON", 0, 0, 0, 0, 0, 0, 5980, 0, 0, 0, 0, 0, 0, 1, 5981
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\assets\excel\CharacterExcelTable.json", "JSON", 0, 0, 0, 0, 0, 0, 328178, 0, 0, 0, 0, 0, 0, 1, 328179
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\assets\excel\CostumeExcelTable.json", "JSON", 0, 0, 0, 0, 0, 0, 133572, 0, 0, 0, 0, 0, 0, 1, 133573
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\assets\excel\ScenarioBGNameExcelTabl.json", "JSON", 0, 0, 0, 0, 0, 0, 27405, 0, 0, 0, 0, 0, 0, 1, 27406
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\assets\excel\ScenarioBGNameExcelTable.json", "JSON", 0, 0, 0, 0, 0, 0, 27405, 0, 0, 0, 0, 0, 0, 1, 27406
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\assets\excel\ScenarioCharacterEmotionExcelTable.json", "JSON", 0, 0, 0, 0, 0, 0, 248, 0, 0, 0, 0, 0, 0, 1, 249
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\assets\excel\ScenarioCharacterNameExcelTabl.json", "JSON", 0, 0, 0, 0, 0, 0, 15987, 0, 0, 0, 0, 0, 0, 1, 15988
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\assets\excel\ScenarioCharacterNameExcelTable.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\assets\excel\ScenarioTransitionExcelTable.json", "JSON", 0, 0, 0, 0, 0, 0, 598, 0, 0, 0, 0, 0, 0, 1, 599
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\assets\fonts\hack\hack-subset.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 5, 35
